
author,time,text,coordinates,place
The_Riddler_254,2020-01-28 22:38:09,@Mike_Dundon @donovanjmcnabb @Chiefs You sure? Lmao this will be mahomes first big game,,
superbowlhdlive,2020-01-28 22:38:09,"Watch Super Bowl 2020 Live Stream Online Super Bowl LIV Free in Super Bowl 54 Halftime Show | Sun. Feb 2

Live on https://t.co/UxtHCAzNO3

🏈🏆 #SuperBowl #SuperBowl2020 #SuperBowlLIV https://t.co/QcUqDhaaHX",,
RagesFury,2020-01-28 22:38:10,"RT @LifeNewsHQ: BREAKING NEWS:

@FOXSports is censoring this pro-life commercial featuring people who survived abortions.

It's refusing to…",,
_RolleBoy,2020-01-28 22:38:11,"RT @NFLonFOX: Gold end zone for the @Chiefs 

#SB54 🙌💛 https://t.co/ozNoFiUK1a",,
JpSSBM2,2020-01-28 22:38:11,"RT @pitbull: 5 days #GetReady 
#SBLIV @NFL @NFLonFOX https://t.co/Pt6ikIqcNs",,
Billsmafia178,2020-01-28 22:38:12,"RT @MaskedSingerFOX: Do #RobotMask and #LlamaMask have what it takes to be an @NFLonFOX mascot? 

The @RamsNFL and @Seahawks mascots stop b…",,
Pestilence1,2020-01-28 22:38:13,"RT @WWEonFOX: Special @FoxSports correspondent, King @BaronCorbinWWE took over 'Opening Night' of #SB54 to interview some of the players fr…",,
pchpaman,2020-01-28 22:38:13,"RT @ArrowheadAddict: Chris Jones was asked if he’d lift up Andy Reid with a Super Bowl win. CJ couldn’t stop laughing: ""Listen, I love coac…",,
JDonnellyESQ,2020-01-28 22:38:13,"@kcbonnies97 @RickEdgington @Chiefs and given all the shit I'm getting from you and Jim, screw it . . . I'm rooting for the 49ers",,
shaggyshanekc,2020-01-28 22:38:15,"Clark Hunt tried his hand at stand up comedy today in Miami by stating that KC could wait until next year to give Patrick Mahomes his contract extension. LOL! 🤣 I gotta admit, I laughed.... https://t.co/Zy6Nhc5eub",,
neverJUSTaPO,2020-01-28 22:38:17,Can we please quit using the phrase “defense wins championships” as an anti-@Chiefs phrase? Are we supposed to pretend the Chiefs are not good on that side of the ball after the last 8 games?,,"Place(_api=<tweepy.api.API object at 0x12e06ce90>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/c7e2dea70762f1d3.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x12e06ce90>, type=u'Polygon', coordinates=[[[-93.99836, 38.982051], [-93.99836, 39.009458], [-93.935947, 39.009458], [-93.935947, 38.982051]]]), full_name=u'Odessa, MO', attributes={}, id=u'c7e2dea70762f1d3', name=u'Odessa')"
RealGsPatton007,2020-01-28 22:38:18,"RT @LifeNewsHQ: BREAKING NEWS:

@FOXSports is censoring this pro-life commercial featuring people who survived abortions.

It's refusing to…",,
SlimOregano,2020-01-28 22:38:18,"RT @NFLonFOX: Gold end zone for the @Chiefs 

#SB54 🙌💛 https://t.co/ozNoFiUK1a",,
JillAdge,2020-01-28 22:38:19,"RT @LWashingtonTV: ""I Got Your Back"" has been the mantra for this San Francisco 49ers team all season. Today players reinforced the fact ca…",,
WALLA_MAJIC,2020-01-28 22:38:19,RT @JamesPalmerTV: Patrick Mahomes' growth in a specific area this season has played a key role in how RB Damien Williams is used within Ka…,,
kinzeyhockaday,2020-01-28 22:38:21,"RT @NFLonFOX: Gold end zone for the @Chiefs 

#SB54 🙌💛 https://t.co/ozNoFiUK1a",,
Dgadbois,2020-01-28 22:38:21,"@BarryGadbois @southpointlv @49ers on the money line, over 53.5, clear Gatorade, national anthem over 2:04",,
thekstatefamily,2020-01-28 22:38:22,"RT @GPCwallace: Fun Fact: Patrick Mahomes may not have attended K-State, but he once wore a Powercat on his helmet in high school for the W…",,
MangoPieMaster,2020-01-28 22:38:23,"RT @pitbull: 5 days #GetReady 
#SBLIV @NFL @NFLonFOX https://t.co/Pt6ikIqcNs",,
JJELMAC,2020-01-28 22:38:25,"RT @HardRockStadium: Dressed to impress 🎨

@NFL x @SuperBowl https://t.co/4fhJxtwv3u",,
petepenland,2020-01-28 22:38:28,"RT @realfrankboal: Jumping back on tv again  tonight on  @41actionnews
at 6:30 for Chiefs Super Bowl Special.
Live reports from Miami with…",,
Billsmafia178,2020-01-28 22:38:28,RT @Dameshek: Found this conversation with Jimmy Garoppolo's family &amp; a cleanshaven potbellied dope at the 2014 NFL Draft (on Mothers Day)…,,
KingDavid5562,2020-01-28 22:38:30,"RT @donovanjmcnabb: Starting to get amped for the game this weekend. Miami will be a fun fun place to be. Reuniting with old friends, playe…",,
PoliceFirstNow,2020-01-28 22:38:30,"RT @yesthatCarlo: Everyone freaking out about Joe Rogan endorsing Bernie was completely silent when Ed Buck, a literal serial killer, endor…",,
MrRoscoes,2020-01-28 22:38:32,"I’m gonna keep it real, I’m tired of saying Quest for Six 

I want a Quest for 7 

I need that Super Bowl win on Sunday and I would love for it to be against Patrick Mahomes",,
myramusings,2020-01-28 22:38:33,OMG!!! This is my chapter soror's daughter!!! Her mom is my real estate CPA too!! Congrats Kylie!!!,,
mlhcromwell16,2020-01-28 22:38:34,"RT @LifeNewsHQ: BREAKING NEWS:

@FOXSports is censoring this pro-life commercial featuring people who survived abortions.

It's refusing to…",,
karrob_radio,2020-01-28 22:38:34,"RT @talk1340: Be sure to enter our Big Game Prop Contest! 

Text your entries to 806-855-3712

What will be the Chiefs final score?

How ma…",,
c_mvancee,2020-01-28 22:38:42,RT @FreddieGibbs: LIVE for Kobe,,
MarTayMartyMarv,2020-01-28 22:38:42,RT @ChiefsPoll: Which @49ers player concerns you the most? Comment if it's someone not listed. #chiefskingdom #SBLIV,,
yerfaceismycase,2020-01-28 22:38:44,RT @people: 49ers Quarterback Jimmy Garoppolo Says Tom Brady Texted Him 'Good Luck' Ahead of the Super Bowl https://t.co/tOy0tADJZh,,
TepNazario_PH,2020-01-28 22:38:45,"RT @pitbull: 5 days #GetReady 
#SBLIV @NFL @NFLonFOX https://t.co/Pt6ikIqcNs",,
ginagee0723,2020-01-28 22:38:45,RT @49erswebzone: #49ers' Kyle Shanahan once again makes a case for @JohnLynch49ers to enter Hall of Fame #SBLIV https://t.co/nW1qtJGSxX,,
KMHZX312,2020-01-28 22:38:47,"RT @nflthrowback: One play in the @SuperBowl can make you a legend forever 🙌 @Giants (Feb. 3, 2008) https://t.co/pDqb9PeWi0",,
kinzeyhockaday,2020-01-28 22:38:48,@ArrowheadLive @_UnknownFlight_ @NFLonFOX @Chiefs underrated tweet 😂,,
GaisNemri,2020-01-28 22:38:49,"RT @jwyattsports: “I know he’s in heaven right now looking down on us.”

At @SuperBowl, @49ers QB C.J. Beathard has slain brother on his mi…",,
Greenblatt1,2020-01-28 22:38:49,@ChewyMoose @dararahim1 @Chiefs Either of you homers want to bet?,,
Diggingthewall,2020-01-28 22:38:49,"@CaptBuzzkill3 @RyanLamar14 @AntHellaRaw @VernonMaxwell11 Also if you win enjoy it as chiefs .
We r moving but at least we keep our Name. Chiefs is racist and should be changed. How about kansas city ribs
Hey #RaiderNation 
Any thoughts for new names to replace chiefs name???",,
secret1878,2020-01-28 22:38:51,"RT @PaulHembo: ""Jimmy Garoppolo is a game manager.""

84.0 QBR in 4th quarter and game within 1 possession (best in NFL)

115.7 passer ratin…",,
SteveJo93220734,2020-01-28 22:38:53,"RT @LifeNewsHQ: BREAKING NEWS:

@FOXSports is censoring this pro-life commercial featuring people who survived abortions.

It's refusing to…",,
JulioXCI_LGND,2020-01-28 22:38:54,"RT @NFL: The @49ers' best plays from the postseason...so far! #GoNiners

#SBLIV | #WeReady https://t.co/qDsyKOTG5I",,
Teri_careforall,2020-01-28 22:38:56,@metheridge @FlySJC @Chiefs @49ers I once was told it was dangerous to wear my Vikings jacket when I was at a gas station in WI. I told him to bring it on. 😂 I just can’t believe how many similarities we have. Dad says make nachos for him.🤷🏼‍♀️,,
ab_burner,2020-01-28 22:38:56,Perfect example of how stats can mean nothing,,
ClayTravis,2020-01-28 22:38:56,"RT @LockItInonFS1: ""Andy Reid now has got the Tom Brady of his generation in Patrick Mahomes. It's going to make a tremendous difference.""…",,
hjohns15,2020-01-28 22:38:56,"RT @LifeNewsHQ: BREAKING NEWS:

@FOXSports is censoring this pro-life commercial featuring people who survived abortions.

It's refusing to…",,
Wakefield90,2020-01-28 22:38:57,"RT @Full10Yards: 🚨SUPER BOWL PODCAST #2🚨

This time, @Shaun_F10Y , @alexlewis226 &amp; @davieremixed take a look at Patrick Mahomes &amp; the KC ch…",,
eterry28,2020-01-28 22:38:57,"#earthquakes #Tsunami #Cornoavirus 

Why is the world siding with @tathompsonKS? He's not a @Chiefs fan!",,
RealSizzleSK,2020-01-28 22:38:58,"RT @JoriEpstein: Cowboys Hall of Famer Troy Aikman on Kobe Bryant: ""We never know when our time’s going to come. But whenever the time come…",,
snasti49,2020-01-28 22:39:00,@FalconsKingdom @buttnuts5 @DKatsikogiannis @NFLonFOX Dawg I can accept a regular season L if it means we’re in the superbowl🤣,,
jennifermyers12,2020-01-28 22:39:01,"RT @dzalcman: ""It’s more important to be called a ‘Chief’ by your church group than to honor real Indian country. I think the real issue wi…",,
Ninja0967,2020-01-28 22:39:02,"RT @pitbull: 5 days #GetReady 
#SBLIV @NFL @NFLonFOX https://t.co/Pt6ikIqcNs",,
KMax_AyeeUno,2020-01-28 22:39:03,"RT @SportsCenter: ""The Mamba Mentality still lives on.""

—@RSherman_25 on playing Super Bowl LIV for Kobe https://t.co/sDXXvdOEwJ",,
JOBOOZOSO,2020-01-28 22:39:04,Daily Fantasy Football: Sannes' Situations to Monitor for Super Bowl LIV - numberFire https://t.co/I3ZX42lQ2k,,
Lizzpu_,2020-01-28 22:39:05,"RT @pitbull: 5 days #GetReady 
#SBLIV @NFL @NFLonFOX https://t.co/Pt6ikIqcNs",,
tommy2tweetz,2020-01-28 22:39:05,"RT @barstoolbets: Will Kyle Shanahan blow a 28-3 lead again like he did in Super Bowl 51? 

Yes +10000 

(Odds via: @PointsBetUSA) 
 https:…",,
DKSportsbook,2020-01-28 22:39:06,"1. Patrick Mahomes
2. Jimmy Garoppolo 
3. 🤔

#SuperBowlLIV | #MakeItReign https://t.co/lweUoJ0sNl",,
Chiefskc23,2020-01-28 22:39:06,"@sportsjunkie551 @creatingwill @danorlovsky7 @49ers Not to mention this starting linebacker crew didn’t all start together since maybe week 9. That’s when the defense started to gel more and play better overall. This is a brand new defense with brand new coaches , so it took some time to adjust to new schemes",,
FedererJones,2020-01-28 22:39:09,"RT @peterhartlaub: In 1982, the @sfchronicle paid Dwight Clark to write a @49ers ""Super Bowl Diary""

It's a remarkable historical record, t…",,
NoahSprinkle2,2020-01-28 22:39:10,"RT @Sports_Spectrum: ""His timing is always perfect."" 

Chiefs lineman @stefenwiz61 on his faith at Super Bowl LIV https://t.co/rTdFcqYzHh",,
